date,lineage,count
05/09/2020,A,4
05/09/2020,B,1549
05/09/2020,B.1.1.7,0
05/09/2020,B.1.617.2,0
05/09/2020,B.1.1.529,0
05/09/2020,BA.2,0
05/09/2020,BA.4,0
05/09/2020,BA.5,0
05/09/2020,BA.1,0
05/09/2020,BA.2.75,0
05/09/2020,XBB,0
05/09/2020,BA.5.3,0
12/09/2020,A,1
12/09/2020,B,2026
12/09/2020,B.1.1.7,0
12/09/2020,B.1.617.2,0
12/09/2020,B.1.1.529,0
12/09/2020,BA.2,0
12/09/2020,BA.4,0
12/09/2020,BA.5,0
12/09/2020,BA.1,0
12/09/2020,BA.2.75,0
12/09/2020,XBB,0
12/09/2020,BA.5.3,0
19/09/2020,A,0
19/09/2020,B,1266
19/09/2020,B.1.1.7,0
19/09/2020,B.1.617.2,0
19/09/2020,B.1.1.529,0
19/09/2020,BA.2,0
19/09/2020,BA.4,0
19/09/2020,BA.5,0
19/09/2020,BA.1,0
19/09/2020,BA.2.75,0
19/09/2020,XBB,0
19/09/2020,BA.5.3,0
26/09/2020,A,0
26/09/2020,B,2840
26/09/2020,B.1.1.7,2
26/09/2020,B.1.617.2,0
26/09/2020,B.1.1.529,0
26/09/2020,BA.2,0
26/09/2020,BA.4,0
26/09/2020,BA.5,0
26/09/2020,BA.1,0
26/09/2020,BA.2.75,0
26/09/2020,XBB,0
26/09/2020,BA.5.3,0
03/10/2020,A,0
03/10/2020,B,2029
03/10/2020,B.1.1.7,2
03/10/2020,B.1.617.2,0
03/10/2020,B.1.1.529,0
03/10/2020,BA.2,0
03/10/2020,BA.4,0
03/10/2020,BA.5,0
03/10/2020,BA.1,0
03/10/2020,BA.2.75,0
03/10/2020,XBB,0
03/10/2020,BA.5.3,0
10/10/2020,A,0
10/10/2020,B,3424
10/10/2020,B.1.1.7,1
10/10/2020,B.1.617.2,0
10/10/2020,B.1.1.529,0
10/10/2020,BA.2,0
10/10/2020,BA.4,0
10/10/2020,BA.5,0
10/10/2020,BA.1,0
10/10/2020,BA.2.75,0
10/10/2020,XBB,0
10/10/2020,BA.5.3,0
17/10/2020,A,0
17/10/2020,B,4153
17/10/2020,B.1.1.7,5
17/10/2020,B.1.617.2,0
17/10/2020,B.1.1.529,0
17/10/2020,BA.2,0
17/10/2020,BA.4,0
17/10/2020,BA.5,0
17/10/2020,BA.1,0
17/10/2020,BA.2.75,0
17/10/2020,XBB,0
17/10/2020,BA.5.3,0
24/10/2020,A,0
24/10/2020,B,5090
24/10/2020,B.1.1.7,25
24/10/2020,B.1.617.2,0
24/10/2020,B.1.1.529,0
24/10/2020,BA.2,0
24/10/2020,BA.4,0
24/10/2020,BA.5,0
24/10/2020,BA.1,0
24/10/2020,BA.2.75,0
24/10/2020,XBB,0
24/10/2020,BA.5.3,0
31/10/2020,A,0
31/10/2020,B,3192
31/10/2020,B.1.1.7,26
31/10/2020,B.1.617.2,0
31/10/2020,B.1.1.529,0
31/10/2020,BA.2,0
31/10/2020,BA.4,0
31/10/2020,BA.5,0
31/10/2020,BA.1,0
31/10/2020,BA.2.75,0
31/10/2020,XBB,0
31/10/2020,BA.5.3,0
07/11/2020,A,0
07/11/2020,B,6159
07/11/2020,B.1.1.7,133
07/11/2020,B.1.617.2,0
07/11/2020,B.1.1.529,0
07/11/2020,BA.2,0
07/11/2020,BA.4,0
07/11/2020,BA.5,0
07/11/2020,BA.1,0
07/11/2020,BA.2.75,0
07/11/2020,XBB,0
07/11/2020,BA.5.3,0
14/11/2020,A,0
14/11/2020,B,6916
14/11/2020,B.1.1.7,559
14/11/2020,B.1.617.2,0
14/11/2020,B.1.1.529,0
14/11/2020,BA.2,0
14/11/2020,BA.4,0
14/11/2020,BA.5,0
14/11/2020,BA.1,0
14/11/2020,BA.2.75,0
14/11/2020,XBB,0
14/11/2020,BA.5.3,0
21/11/2020,A,2
21/11/2020,B,4115
21/11/2020,B.1.1.7,383
21/11/2020,B.1.617.2,0
21/11/2020,B.1.1.529,0
21/11/2020,BA.2,0
21/11/2020,BA.4,0
21/11/2020,BA.5,0
21/11/2020,BA.1,0
21/11/2020,BA.2.75,0
21/11/2020,XBB,0
21/11/2020,BA.5.3,0
28/11/2020,A,1
28/11/2020,B,2239
28/11/2020,B.1.1.7,477
28/11/2020,B.1.617.2,0
28/11/2020,B.1.1.529,0
28/11/2020,BA.2,0
28/11/2020,BA.4,0
28/11/2020,BA.5,0
28/11/2020,BA.1,0
28/11/2020,BA.2.75,0
28/11/2020,XBB,0
28/11/2020,BA.5.3,0
05/12/2020,A,1
05/12/2020,B,641
05/12/2020,B.1.1.7,371
05/12/2020,B.1.617.2,0
05/12/2020,B.1.1.529,0
05/12/2020,BA.2,0
05/12/2020,BA.4,0
05/12/2020,BA.5,0
05/12/2020,BA.1,0
05/12/2020,BA.2.75,0
05/12/2020,XBB,0
05/12/2020,BA.5.3,0
12/12/2020,A,7
12/12/2020,B,3025
12/12/2020,B.1.1.7,2131
12/12/2020,B.1.617.2,0
12/12/2020,B.1.1.529,0
12/12/2020,BA.2,0
12/12/2020,BA.4,0
12/12/2020,BA.5,0
12/12/2020,BA.1,0
12/12/2020,BA.2.75,0
12/12/2020,XBB,0
12/12/2020,BA.5.3,0
19/12/2020,A,14
19/12/2020,B,2254
19/12/2020,B.1.1.7,4216
19/12/2020,B.1.617.2,0
19/12/2020,B.1.1.529,0
19/12/2020,BA.2,0
19/12/2020,BA.4,0
19/12/2020,BA.5,0
19/12/2020,BA.1,0
19/12/2020,BA.2.75,0
19/12/2020,XBB,0
19/12/2020,BA.5.3,0
26/12/2020,A,13
26/12/2020,B,1135
26/12/2020,B.1.1.7,2164
26/12/2020,B.1.617.2,0
26/12/2020,B.1.1.529,0
26/12/2020,BA.2,0
26/12/2020,BA.4,0
26/12/2020,BA.5,0
26/12/2020,BA.1,0
26/12/2020,BA.2.75,0
26/12/2020,XBB,0
26/12/2020,BA.5.3,0
02/01/2021,A,3
02/01/2021,B,1064
02/01/2021,B.1.1.7,4264
02/01/2021,B.1.617.2,0
02/01/2021,B.1.1.529,0
02/01/2021,BA.2,0
02/01/2021,BA.4,0
02/01/2021,BA.5,0
02/01/2021,BA.1,0
02/01/2021,BA.2.75,0
02/01/2021,XBB,0
02/01/2021,BA.5.3,0
09/01/2021,A,7
09/01/2021,B,1319
09/01/2021,B.1.1.7,5540
09/01/2021,B.1.617.2,0
09/01/2021,B.1.1.529,0
09/01/2021,BA.2,0
09/01/2021,BA.4,0
09/01/2021,BA.5,0
09/01/2021,BA.1,0
09/01/2021,BA.2.75,0
09/01/2021,XBB,0
09/01/2021,BA.5.3,0
16/01/2021,A,20
16/01/2021,B,1513
16/01/2021,B.1.1.7,7531
16/01/2021,B.1.617.2,0
16/01/2021,B.1.1.529,0
16/01/2021,BA.2,0
16/01/2021,BA.4,0
16/01/2021,BA.5,0
16/01/2021,BA.1,0
16/01/2021,BA.2.75,0
16/01/2021,XBB,0
16/01/2021,BA.5.3,0
23/01/2021,A,15
23/01/2021,B,1086
23/01/2021,B.1.1.7,8739
23/01/2021,B.1.617.2,0
23/01/2021,B.1.1.529,0
23/01/2021,BA.2,0
23/01/2021,BA.4,0
23/01/2021,BA.5,0
23/01/2021,BA.1,0
23/01/2021,BA.2.75,0
23/01/2021,XBB,0
23/01/2021,BA.5.3,0
30/01/2021,A,13
30/01/2021,B,850
30/01/2021,B.1.1.7,10839
30/01/2021,B.1.617.2,0
30/01/2021,B.1.1.529,0
30/01/2021,BA.2,0
30/01/2021,BA.4,0
30/01/2021,BA.5,0
30/01/2021,BA.1,0
30/01/2021,BA.2.75,0
30/01/2021,XBB,0
30/01/2021,BA.5.3,0
06/02/2021,A,1
06/02/2021,B,142
06/02/2021,B.1.1.7,3083
06/02/2021,B.1.617.2,0
06/02/2021,B.1.1.529,0
06/02/2021,BA.2,0
06/02/2021,BA.4,0
06/02/2021,BA.5,0
06/02/2021,BA.1,0
06/02/2021,BA.2.75,0
06/02/2021,XBB,0
06/02/2021,BA.5.3,0
13/02/2021,A,5
13/02/2021,B,169
13/02/2021,B.1.1.7,5498
